geom_x_y;objectid;arrondissement;identifiant;numero_voie;nom_voie;x;y;horaires_ouverture;gestionnaire;source
48.901133035, 2.34444160503;330;18;18/151;;AVENUE DE LA PORTE DE CLIGNANCOURT;600580.477;133412.11000000002;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.883028778, 2.38142198169;349;19;19/113;face 5;AVENUE DE LAUMIERE;603292.749466;131399.857816;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8919370861, 2.32718400877;299;18;18/102;74;AVENUE DE SAINT OUEN;599315.163865;132389.525199;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8392330434, 2.30633269023;258;15;15/148;face 7;RUE LA QUINTINIE;597783.856332;126529.198644;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.871931094, 2.3920523226;389;20;20/135;296;RUE DES PYRENEES;604073.260171;130166.308066;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.896429138, 2.3346274324;322;18;18/129;face 36;RUE LEIBNIZ;599860.969006;132889.004259;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8319295622, 2.30273348541;236;15;15/110;76;RUE BRANCION;597519.295669;125717.158035;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8917888229, 2.33522147941;300;18;18/103;2;RUE MONTCALM;599904.511395;132372.997198;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8460231192, 2.30890949564;234;15;15/106;;AVENUE DE SUFFREN;597973.282255;127284.187674;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8875400487, 2.29436414579;296;17;17/177;face 1;AVENUE STEPHANE MALLARME;596908.369938;131901.393049;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.888224506, 2.32593610572;312;18;18/115;16;AVENUE DE SAINT OUEN;599223.600677;131976.695831;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8749477124, 2.29569743574;281;17;17/101;face 2;AVENUE DE WAGRAM;597005.375;130501.063;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8476823115, 2.27363259839;274;16;16/114;2;PLACE DE BARCELONE;595384.371802;127470.252296;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8865972849, 2.37715913191;347;19;19/110;68;QUAI DE LA LOIRE;602979.908449;131796.500393;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8914363932, 2.34974114956;302;18;18/105;96;BOULEVARD BARBES;600969.176821;132333.892086;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.9005931845, 2.33510623427;308;18;18/111;;RUE GERARD DE NERVAL;599896.08557;133352.048179;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8905508133, 2.30346768685;290;17;17/136;face 3;AVENUE DE LA PORTE D ASNIERES;597576.094782;132235.858204;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8818841939, 2.28601752975;294;17;17/164;51;BOULEVARD GOUVION SAINT CYR;596295.8754;131272.836242;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8417544352, 2.33748462835;56;06;6/103;face 139;BOULEVARD SAINT MICHEL;600070.493068;126809.137659;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8303257437, 2.37520071297;187;13;13/127;face 97;RUE DU CHEVALERET;602839.461644;125538.988783;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8648280189, 2.35161126083;10;02;2/102;85;BOULEVARD DE SEBASTOPOL;601106.877435;129375.048287;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8624769891, 2.31080862005;64;07;7/105;41;PLACE DE FINLANDE;598113.299778;129113.820555;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.844736498, 2.31101424775;251;15;15/133;6;BOULEVARD PASTEUR;598127.706498;127141.060086;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8396342754, 2.36175466277;196;13;13/165;;BOULEVARD DE L HOPITAL;601851.967985;126573.685304;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8762387309, 2.36817760919;105;10;10/116;2;RUE DES ECLUSES SAINT MARTIN;602321.743419;130644.305506;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8461292375, 2.34004429125;57;06;6/112;face 73;BOULEVARD SAINT MICHEL;600258.350318;127295.624681;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8311339821, 2.34443170401;185;13;13/123;100;BOULEVARD AUGUSTE BLANQUI;600580.518255;125628.165533;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8746134859, 2.30236199297;78;08;8/124;face 19;AVENUE DE FRIEDLAND;597494.203387;130463.652826;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8281983631, 2.35845319705;181;13;13/116;face 159;AVENUE DE CHOISY;601609.995;125301.927;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.849330259, 2.35484617831;46;05;5/104;9;BOULEVARD SAINT GERMAIN;601344.61505;127651.739022;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.84368377, 2.40188520758;158;12;12/120;54;BOULEVARD DE PICPUS;604797.249754;127025.764724;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8189769485, 2.3575912199;177;13;13/111;5;BOULEVARD KELLERMANN;601546.989378;124276.480113;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8449844522, 2.38031784261;155;12;12/115;111;AVENUE DAUMESNIL;603214.20398;127169.254188;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8322602151, 2.3253096623;210;14;14/117;;AVENUE DU MAINE;599176.698399;125753.433241;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8667550376, 2.38338973341;372;20;20/104;face 148;BOULEVARD DE MENILMONTANT;603438.173934;129590.294709;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8583381123, 2.41471511824;374;20;20/106;;AVENUE DU PROFESSEUR ANDRE LEMIERE;605737.238008;128656.232131;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8689183629, 2.34062639783;15;02;2/109;face 13;PLACE DE LA BOURSE;600300.950767;129829.794032;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8602128675, 2.35039774649;37;04;4/113;face 2;RUE AUBRY LE BOUCHER;601017.93912;128861.823002;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8570490165, 2.4045172617;381;20;20/113;face 121;RUE DES PYRENEES;604989.102;128512.16;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8706908077, 2.40935900155;370;20;20/102;;PLACE DE L ADJUDANT VINCENOT;605342.916372;130029.467056;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8755544143, 2.39779898431;341;19;19/104;251;RUE DE BELLEVILLE;604494.479014;130569.550875;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8909604073, 2.37724299499;360;19;19/128;100;AVENUE DE FLANDRE;602985.799516;132281.685929;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.898773308, 2.36929812409;326;18;18/141;face 3;BOULEVARD NEY;602402.858;133150.201;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8403933132, 2.3612732609;44;05;5/101;4;RUE POLIVEAU;601816.604902;126658.079175;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8842143528, 2.32896961728;333;18;18/156;130 ter;BOULEVARD DE CLICHY;599446.002228;131530.737518;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8705858922, 2.39820179353;388;20;20/132;157;RUE DE MENILMONTANT;604524.473044;130017.071933;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8396660531, 2.30195906663;243;15;15/118;277;RUE DE VAUGIRARD;597462.842628;126577.487374;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8557718796, 2.40991820214;378;20;20/110;;RUE DE LA CROIX SAINT SIMON;605385.541912;128370.512248;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8482636473, 2.40003159415;375;20;20/107;9;COURS DE VINCENNES;604660.775624;127534.934353;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8976316127, 2.3589156474;306;18;18/109;87;RUE DE LA CHAPELLE;601641.703893;133022.964302;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.84733414, 2.31095990545;230;15;15/102;4;PLACE DE BRETEUIL;598123.817843;127429.921207;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8580216455, 2.34737781833;4;01;1/113;2;RUE SAINT DENIS;600796.395;128618.121;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8890639193, 2.34515427741;313;18;18/116;23;RUE LAMBERT;600632.869283;132070.022209;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8623402992, 2.34220322324;6;01;1/125;44;RUE BERGER;600416.675609;129098.316318;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8991988465, 2.3701265059;332;18;18/155;3;AVENUE DE LA PORTE D AUBERVILLIERS;602463.569921;133197.548016;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8412025712, 2.33232860028;55;06;6/102;135bis;BOULEVARD DU MONTPARNASSE;599692.041665;126747.777735;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8649756655, 2.36013286512;28;03;3/109;face 171;RUE DU TEMPLE;601732.06015;129391.627821;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8513882825, 2.34280307367;60;06;6/143;75;BOULEVARD SAINT GERMAIN;600460.779488;127880.447691;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8674378447, 2.34382098738;14;02;2/108;37;RUE DU LOUVRE;600535.317619;129665.177395;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8413080525, 2.35622468717;49;05;5/132;26;RUE BUFFON;601446.008277;126759.689275;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.846225219, 2.35487219277;47;05;5/110;4;RUE JUSSIEU;601346.60598;127306.45667;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8544550261, 2.41224737255;394;20;20/157;face 3;RUE DES DOCTEURS DEJERINE;605556.598977;128224.245963;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8379115964, 2.35564596848;191;13;13/136;53;BOULEVARD SAINT MARCEL;601403.623921;126381.989777;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8850281386, 2.35486399619;307;18;18/110;3;RUE DE LA GOUTTE D OR;601344.982397;131621.368799;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8856593152, 2.32634362788;283;17;17/104;25;AVENUE DE CLICHY;599253.444228;131691.44078;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8838976231, 2.39785967871;352;19;19/117;;AVENUE DE LA PORTE BRUNET;604498.182071;131497.324907;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8858032513, 2.37584765205;368;19;19/156;52;QUAI DE LA LOIRE;602883.779319;131708.152218;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8904544454, 2.35460972095;316;18;18/119;29;RUE ERNESTINE;601326.194187;132224.773348;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8786193513, 2.37826222864;345;19;19/108;29;RUE MANIN;603061.287219;130909.393121;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8754279615, 2.27958777194;270;16;16/107;opposé 39;BOULEVARD DE L AMIRAL BRUIX;595823.772014;130555.236684;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8683025332, 2.29374015525;275;16;16/121;face 12;PLACE DES ETATS UNIS;596861.384587;129762.19474;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8762331619, 2.38054129019;365;19;19/139;face 45;AVENUE SIMON BOLIVAR;603228.597461;130644.142465;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8842570173, 2.3673810476;340;19;19/103;220;BOULEVARD DE LA VILLETTE;602262.957834;131535.92023;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8453782111, 2.29218246244;263;15;15/160;face 5;PLACE DU COMMERCE;596745.597541;127213.061131;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8570427775, 2.37935147554;143;11;11/138;face 170;AVENUE LEDRU ROLLIN;603142.525101;128510.107857;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8226298504, 2.32885652026;221;14;14/136;70;BOULEVARD JOURDAN;599436.968412;124682.496635;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8757753953, 2.35625135327;110;10;10/121;;RUE DU FAUBOURG SAINT DENIS;601446.987195;130592.483243;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8252447717, 2.31580729655;220;14;14/133;82;BOULEVARD BRUNE;598478.881459;124973.457695;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8280565621, 2.35653249546;184;13;13/120;46;AVENUE D ITALIE;601468.982924;125286.119202;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8238450194, 2.31818116624;213;14;14/120;opposé au 8;AVENUE DE LA PORTE DE CHATILLON;598653.140167;124817.759111;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.825507787, 2.30413873243;217;14;14/126;18;AVENUE DE LA PORTE DE VANVES;597622.148628;125003.006505;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8337173082, 2.36512630736;174;13;13/107;117;BOULEVARD VINCENT AURIOL;602099.699422;125915.802568;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8495804477, 2.39366320703;142;11;11/136;282;BOULEVARD VOLTAIRE;604193.293292;127680.989037;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8656969801, 2.38095859967;137;11;11/125;18;AVENUE JEAN AICARD;603259.88933;129472.529696;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8715541615, 2.4021401807;373;20;20/105;24;RUE SAINT FARGEAU;604813.286607;130124.987793;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8662840548, 2.3897774464;386;20;20/123;72;RUE DES AMANDIERS;603906.827131;129538.232816;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8954953474, 2.37896296772;356;19;19/121;7;RUE DE CAMBRAI;603111.638469;132786.044044;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8884709682, 2.31581150544;284;17;17/105;;PLACE CHARLES FILLION;598481.166186;132004.256007;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.85415067, 2.35602360649;34;04;4/105;;QUAI DE L HOTEL DE VILLE;601430.888813;128187.794007;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8630936107, 2.35271771746;26;03;3/104;face 34;RUE DU GRENIER SAINT LAZARE;601188.092827;129182.197835;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8538097072, 2.41151638615;383;20;20/115;6;AVENUE DE LA PORTE DE MONTREUIL;605503.029874;128152.432577;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8571881529, 2.38095648432;122;11;11/101;face 113;BOULEVARD VOLTAIRE;603260.285652;128526.342044;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8683443637, 2.35014625048;11;02;2/103;face 31;RUE D ALEXANDRIE;600999.328775;129766.047802;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8792272013, 2.30402816181;74;08;8/109;51;BOULEVARD DE COURCELLES;597616.642266;130976.647218;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8623131813, 2.35020308502;2;01;1/106;55;BOULEVARD DE SEBASTOPOL;601003.615525;129095.376762;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8615373524, 2.35003085158;38;04;4/115;36;BOULEVARD DE SEBASTOPOL;600990.993925;129009.101712;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.857493703, 2.39245136818;147;11;11/147;133;BOULEVARD DE CHARONNE;604103.712388;128560.881889;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8710936949, 2.36098427062;95;10;10/105;8;PLACE JACQUES BONSERGENT;601794.307;130071.977;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.894741052, 2.38202690388;361;19;19/130;177;AVENUE DE FLANDRE;603336.335689;132702.297201;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8835732741, 2.36874246833;116;10;10/131;11;PLACE DE LA BATAILLE DE STALINGRAD;602362.83149;131459.929356;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8392007135, 2.33873159224;45;05;5/103;88 ter;BOULEVARD DE PORT ROYAL;600162.025593;126525.163833;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8822446249, 2.35053422485;115;10;10/129;145;BOULEVARD DE MAGENTA;601027.5131;131311.771694;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8721336811, 2.33854479898;80;09;9/102;1;BOULEVARD HAUSSMANN;600148.239495;130187.333388;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8553031934, 2.36041970739;41;04;4/127;123;RUE SAINT ANTOINE;601753.438231;128316.048616;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8667935445, 2.34957136375;12;02;2/105;73;RUE REAUMUR;600957.183947;129593.588071;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8822137261, 2.37033634348;367;19;19/155;face 196;BOULEVARD DE LA VILLETTE;602479.789;131308.798;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8256936083, 2.32627447599;205;14;14/108;103;AVENUE DU GENERAL LECLERC;599247.424431;125023.211357;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8371892955, 2.29680197246;238;15;15/112;face 200;RUE DE LA CONVENTION;597084.154499;126302.257484;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8289648283, 2.32797958689;222;14;14/139;63;AVENUE DU GENERAL LECLERC;599372.661877;125386.958136;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8348104903, 2.33211877111;215;14;14/123;face 297;BOULEVARD RASPAIL;599676.594229;126036.974409;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8398553776, 2.26307813413;268;16;16/105;170;AVENUE DE VERSAILLES;594608.924671;126600.596155;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8990168529, 2.33769098113;325;18;18/139;face 3;RUE MARCEL SEMBAT;600085.581;133176.759;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8212404052, 2.36901388481;194;13;13/148;1;RUE EMILE LEVASSOR;602385.678893;124528.477084;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8409059865, 2.30028097537;241;15;15/116;92-102;RUE BLOMET;597339.734298;126715.426576;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8409122347, 2.31642763034;232;15;15/104;face 55;BOULEVARD DE VAUGIRARD;598524.903832;126715.679309;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8266907029, 2.34180648779;178;13;13/112;face 129;RUE DE LA GLACIERE;600387.820229;125134.052353;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8734807411, 2.37528177673;96;10;10/106;25;BOULEVARD DE LA VILLETTE;602842.976941;130337.85912;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8352392611, 2.36878261008;189;13;13/130;44;BOULEVARD VINCENT AURIOL;602368.040542;126085.15359;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8754179857, 2.31511516886;79;08;8/127;face 4;AVENUE DE MESSINE;598429.682433;130552.769736;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.883981308, 2.33178483408;90;09;9/136;65;BOULEVARD DE CLICHY;599652.458442;131504.806124;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8346285188, 2.284141152;244;15;15/119;83;RUE DESNOUETTES;596154.578948;126018.069017;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.84923929, 2.37108368746;162;12;12/131;36;AVENUE DAUMESNIL;602536.25595;127642.042305;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8704916023, 2.35137801617;118;10;10/139;5;RUE DE MAZAGRAN;601089.645335;130004.839311;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8293762307, 2.36530148206;182;13;13/117;;RUE CLISSON;602112.740357;125433.076281;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.859234607, 2.38912226664;130;11;11/110;opposé 13;BOULEVARD DE MENILMONTANT;603859.303085;128754.295482;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.866017922, 2.3525443675;23;03;3/101;90;BOULEVARD DE SEBASTOPOL;601175.307562;129507.380561;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8747742506, 2.30321065908;69;08;8/101;12;PLACE GEORGES GUILLAUMIN;597556.461584;130481.50217;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8743584041, 2.32045168942;77;08;8/122;44;BOULEVARD MALESHERBES;598821.087172;130434.846545;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8430740443, 2.36433399581;192;13;13/144;3;BOULEVARD DE L HOPITAL;602041.158;126956.257;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8332259474, 2.4040143783;156;12;12/116;7;RUE JOSEPH CHAILLEY;604954.556584;125862.984773;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8757495125, 2.36046358018;104;10;10/115;;RUE DU FAUBOURG SAINT MARTIN;601755.950228;130589.694807;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8582136973, 2.29250251202;62;07;7/101;;QUAI BRANLY;596769.929327;128640.3621;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8725278384, 2.32653045058;70;08;8/102;;RUE VIGNON;599266.942001;130231.209762;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8294847116, 2.34942543957;170;13;13/101;face 61;BOULEVARD AUGUSTE BLANQUI;600947.162113;125444.81627;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8832470829, 2.34590618688;318;18;18/122;face 52;BOULEVARD DE ROCHECHOUART;600688.082644;131423.19272;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8701413113, 2.31016091273;75;08;8/110;4;AVENUE FRANKLIN D ROOSEVELT;598066.081821;129966.114852;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8356684765, 2.30259575059;259;15;15/149;139;RUE DE L ABBE GROULT;597509.373843;126132.932667;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8382702261, 2.34180576785;216;14;14/124;95;BOULEVARD DE PORT ROYAL;600387.685319;126421.704366;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8465213699, 2.31694564817;261;15;15/155;6;BOULEVARD DU MONTPARNASSE;598563.092431;127339.409336;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8461981551, 2.41126940318;154;12;12/114;2;RUE FERNAND FOUREAU;605485.739757;127306.004965;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8243414263, 2.32111692411;224;14;14/145;161;BOULEVARD BRUNE;598868.711177;124872.911883;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8631566853, 2.34183617987;7;01;1/128;39;PLACE DES DEUX ECUS;600389.74031;129189.09703;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8958345397, 2.37566147354;346;19;19/109;92;RUE CURIAL;602869.554281;132823.631137;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8412299523, 2.25461090743;280;16;16/137;16;AVENUE DU PARC DES PRINCES;593987.582726;126754.09268;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8694083017, 2.35350208429;19;02;2/114;15;BOULEVARD SAINT DENIS;601245.486321;129884.408648;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8600157102, 2.40102151007;391;20;20/144;171;RUE DES PYRENEES;604732.315642;128841.833617;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8814960028, 2.29553251987;295;17;17/176;face 32;AVENUE NIEL;596993.678832;131229.243805;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8598552359, 2.348837232;1;01;1/103;23;BOULEVARD DE SEBASTOPOL;600903.447557;128822.034078;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8681621896, 2.34845002883;18;02;2/113;91;RUE D ABOUKIR;600874.897269;129745.768656;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8886953619, 2.37392407329;357;19;19/124;69;AVENUE DE FLANDRE;602742.557971;132029.684906;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8977589087, 2.34164200768;336;18;18/166;9;BOULEVARD NEY;600375.257507;133036.887169;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8447973119, 2.29047953946;247;15;15/126;1;PLACE VIOLET;596620.57406;127148.540223;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8623619639, 2.26822808174;271;16;16/108;;BOULEVARD SUCHET;594989.222;129102.985;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8781474157, 2.3616456863;109;10;10/120;face 182;RUE DU FAUBOURG SAINT MARTIN;601842.569254;130856.371627;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8240656789, 2.35309546711;176;13;13/109;4;PLACE ABBE GEORGES HENOCQUE;601216.733634;124842.268392;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8348054392, 2.35780584951;172;13;13/105;126;BOULEVARD DE L HOPITAL;601562.264656;126036.625365;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
