geom_x_y;objectid;arrondissement;identifiant;numero_voie;nom_voie;x;y;horaires_ouverture;gestionnaire;source
48.9008257902, 2.34380740461;331;18;18/153;;AVENUE DE LA PORTE DE CLIGNANCOURT;600533.985976;133377.939589;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8383970816, 2.25861985018;266;16;16/103;224;AVENUE DE VERSAILLES;594281.510382;126438.762687;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.887235116, 2.37583653584;350;19;19/115;face 57;QUAI DE LA SEINE;602882.882125;131867.376095;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8635546297, 2.36630552167;27;03;3/107;7/9;BOULEVARD DU TEMPLE;602184.977248;129233.768479;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8840275667, 2.30420618261;288;17;17/117;72;AVENUE DE VILLIERS;597629.931071;131510.445404;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8478120465, 2.34398782402;51;05;5/140;123;RUE SAINT JACQUES;600547.759073;127482.775609;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.878920802, 2.29447373547;285;17;17/106;4;AVENUE NIEL;596915.865744;130942.92271;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8806802415, 2.40040879932;348;19;19/111;;BOULEVARD D ALGERIE;604685.427548;131139.705313;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8538120546, 2.34924320775;35;04;4/106;;RUE D ARCOLE;600933.344034;128150.032965;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8694908822, 2.33834576652;20;02;2/115;;RUE MENARS;600133.64488;129893.45192;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8327135265, 2.36158054833;188;13;13/128;151;BOULEVARD VINCENT AURIOL;601839.438459;125804.088421;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
