idptar;nomptar;STIF;CodeINSEE;X;Y;coord;UFR;AnnonceSonoreProchainPassage;AnnonceVisuelleProchainPassage;AnnonceSonoreSituationsPerturbees;AnnonceVisuelleSituationsPerturbees;PAQT;AccessibiliteQuaiTrain
2297;Jaurès;1001100050001;75119;602501;2431620;48.8828761755, 2.37058633283;0;1;1;1;1;0;0
2226;Chaussée d'Antin (La Fayette);1001100070001;75109;599774;2430519;48.8729857839, 2.33342622072;0;1;1;1;1;0;0
1639;Villejuif-Léo Lagrange;1001100070001;94076;602014;2422818;48.8037696225, 2.36390930306;0;1;1;1;1;0;0
2400;Pierre et Marie Curie;1001100070001;94041;603040;2424170;48.8159171408, 2.37787881315;0;1;1;1;1;0;0
2422;Porte de la Villette;1001100070001;75119;603605;2433251;48.8975291161, 2.38564422679;0;1;1;1;1;0;0
2250;Le Kremlin-Bicêtre;1001100070001;94043;601861;2423554;48.8103850843, 2.36183067976;0;1;1;1;1;0;0
1740;Porte de Choisy;1001100070001;75113;602066;2424600;48.819785644, 2.3646252716;0;1;1;1;1;0;0
1808;Porte d'Italie;1001100070001;75113;601815;2424511;48.8189864752, 2.36120868218;0;1;1;1;1;0;0
3343763;Concorde;1001100080001;75108;598815;2429687;48.8655071808, 2.32036285253;0;1;1;1;1;0;0
1734;Porte d'Ivry;1001100070001;75113;602410;2424775;48.8213573215, 2.36930823389;0;1;1;1;1;0;0
2093;Crimée;1001100070001;75119;602955;2432445;48.8902887343, 2.37677864559;0;1;1;1;1;0;0
1649;Place Monge (Jardin des Plantes);1001100070001;75105;601146;2427201;48.843164652, 2.35211035908;0;1;1;1;1;0;0
2055;Aubervilliers Pantin (4 Chemins);1001100070001;93001;604106;2433960;48.9038980068, 2.39248007534;0;1;1;1;1;0;0
2186;Denfert-Rochereau;1001100060001;75114;599760;2426181;48.833998196, 2.33323849783;0;1;1;1;1;0;0
2404;Place d'Italie;1001100060001;75113;601417;2425860;48.8311117975, 2.35579614238;0;1;1;1;1;0;0
2497;Trocadéro;1001100060001;75116;596385;2429372;48.8626668651, 2.28726305822;0;1;1;1;1;0;0
2177;Corvisart;1001100060001;75113;600945;2425692;48.8296027042, 2.34937026012;0;1;1;1;1;0;0
2409;Raspail;1001100060001;75114;599572;2426724;48.8388783378, 2.33067841595;0;1;1;1;1;0;0
1806;Pont Neuf;1001100070001;75101;600412;2428911;48.8585340615, 2.34211723533;0;1;1;1;1;0;0
1907;Jussieu;1001100070001;75105;601344;2427513;48.8459683914, 2.35480738936;0;1;1;1;1;0;0
2390;Passy;1001100060001;75116;596262;2428801;48.8575343417, 2.28559270248;0;1;1;1;1;0;0
2094;Daumesnil (Félix Eboué);1001100060001;75112;604354;2426781;48.8393764223, 2.39578805708;0;1;1;1;1;0;0
1825;Montparnasse-Bienvenue;1001100060001;75114;598878;2427057;48.8418702955, 2.32122837067;0;1;1;1;1;0;0
1644;Quai de la Gare;1001100060001;75113;602743;2426584;48.837614635, 2.37385211235;0;1;1;1;1;0;0
2524;Quai de la Gare;1001100060001;75113;602743;2426584;48.837614635, 2.37385211235;0;1;1;1;1;0;0
2229;Chevaleret;1001100060001;75113;602235;2426246;48.8345787576, 2.36693389574;0;1;1;1;1;0;0
2073;Boissière;1001100060001;75116;596589;2429838;48.866856114, 2.29003807011;0;1;1;1;1;0;0
